job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,y
housemaid,single,basic,unknown,no,yes,cellular,jul,wed,nonexistent,no
technician,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
services,single,high.school,no,yes,no,cellular,jul,wed,nonexistent,no
entrepreneur,married,university.degree,no,no,no,telephone,jul,wed,nonexistent,no
entrepreneur,married,university.degree,no,no,yes,cellular,jul,wed,nonexistent,no
entrepreneur,married,university.degree,no,no,no,telephone,jul,wed,nonexistent,no
self-employed,married,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
retired,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
admin,single,high.school,no,yes,no,cellular,jul,wed,nonexistent,yes
blue-collar,single,high.school,no,yes,yes,cellular,jul,wed,nonexistent,yes
services,single,basic,no,no,no,cellular,jul,wed,nonexistent,no
services,single,basic,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jul,wed,nonexistent,no
admin,single,professional.course,no,no,no,cellular,jul,wed,nonexistent,no
admin,single,professional.course,no,no,no,cellular,jul,wed,nonexistent,no
admin,single,professional.course,no,yes,no,cellular,jul,wed,nonexistent,no
admin,single,professional.course,no,no,yes,cellular,jul,wed,nonexistent,no
admin,single,professional.course,no,yes,no,cellular,jul,wed,nonexistent,no
admin,single,professional.course,no,no,no,cellular,jul,wed,nonexistent,no
retired,married,unknown,unknown,no,no,cellular,jul,wed,nonexistent,no
admin,single,professional.course,no,yes,no,cellular,jul,wed,nonexistent,no
management,divorced,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
admin,single,high.school,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
admin,single,high.school,no,no,no,cellular,jul,wed,nonexistent,no
admin,single,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
services,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
technician,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
admin,single,university.degree,no,yes,no,telephone,jul,wed,nonexistent,no
services,single,high.school,no,no,yes,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,yes,no,telephone,jul,wed,nonexistent,no
technician,single,basic,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
technician,married,professional.course,no,no,no,cellular,jul,wed,nonexistent,no
admin,single,high.school,no,yes,no,cellular,jul,wed,nonexistent,no
admin,married,high.school,no,no,no,cellular,jul,wed,nonexistent,no
admin,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
retired,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
admin,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,divorced,basic,unknown,yes,no,telephone,jul,wed,nonexistent,no
blue-collar,single,high.school,no,yes,yes,cellular,jul,wed,nonexistent,no
entrepreneur,married,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
admin,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,single,high.school,no,yes,no,cellular,jul,wed,nonexistent,no
retired,married,basic,no,no,no,cellular,jul,wed,nonexistent,yes
services,single,basic,no,yes,no,telephone,jul,wed,nonexistent,no
technician,divorced,professional.course,no,yes,yes,cellular,jul,wed,nonexistent,no
blue-collar,married,high.school,no,yes,yes,cellular,jul,wed,nonexistent,no
management,married,university.degree,unknown,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,high.school,no,yes,no,cellular,jul,wed,nonexistent,no
technician,single,high.school,no,yes,no,cellular,jul,wed,nonexistent,no
admin,married,basic,unknown,no,no,cellular,jul,wed,nonexistent,yes
admin,married,university.degree,no,unknown,unknown,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
admin,divorced,university.degree,no,unknown,unknown,cellular,jul,wed,nonexistent,no
blue-collar,single,basic,unknown,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,unknown,no,yes,no,telephone,jul,wed,nonexistent,no
technician,divorced,basic,no,yes,no,cellular,jul,wed,nonexistent,no
admin,single,high.school,no,no,yes,cellular,jul,wed,nonexistent,no
admin,single,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,wed,nonexistent,no
unemployed,single,basic,unknown,yes,yes,cellular,jul,wed,nonexistent,yes
services,single,high.school,no,yes,no,telephone,jul,wed,nonexistent,no
management,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
technician,single,university.degree,no,yes,yes,cellular,jul,wed,nonexistent,no
management,married,university.degree,no,yes,yes,telephone,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,yes,yes,cellular,jul,wed,nonexistent,no
services,married,unknown,unknown,yes,no,cellular,jul,wed,nonexistent,no
services,single,high.school,no,yes,yes,cellular,jul,wed,nonexistent,no
blue-collar,divorced,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
admin,divorced,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
unemployed,married,professional.course,unknown,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,single,basic,unknown,yes,no,telephone,jul,wed,nonexistent,no
services,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
services,single,basic,no,yes,no,telephone,jul,wed,nonexistent,no
services,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
services,single,basic,no,no,no,cellular,jul,wed,nonexistent,no
technician,married,professional.course,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,single,basic,no,yes,yes,telephone,jul,wed,nonexistent,no
blue-collar,single,basic,no,no,no,telephone,jul,wed,nonexistent,no
housemaid,single,high.school,no,yes,yes,cellular,jul,wed,nonexistent,no
technician,married,unknown,no,yes,no,cellular,jul,wed,nonexistent,no
services,married,high.school,no,yes,yes,telephone,jul,wed,nonexistent,no
blue-collar,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
admin,divorced,high.school,no,yes,no,cellular,jul,wed,nonexistent,no
unknown,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
admin,single,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,high.school,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,high.school,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,yes,cellular,jul,wed,nonexistent,no
blue-collar,divorced,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
services,married,high.school,no,yes,no,cellular,jul,wed,nonexistent,no
management,single,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
admin,single,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
admin,married,basic,no,no,yes,cellular,jul,wed,nonexistent,no
entrepreneur,married,university.degree,no,no,yes,cellular,jul,wed,nonexistent,no
blue-collar,single,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
technician,married,university.degree,no,yes,no,telephone,jul,wed,nonexistent,no
admin,married,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
housemaid,single,high.school,no,no,yes,cellular,jul,wed,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,single,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
services,married,unknown,unknown,no,no,cellular,jul,wed,nonexistent,no
admin,single,basic,no,yes,no,cellular,jul,wed,nonexistent,no
services,single,basic,no,yes,no,telephone,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,single,basic,no,yes,no,cellular,jul,wed,nonexistent,no
admin,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
management,married,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
services,married,high.school,unknown,no,no,cellular,jul,wed,nonexistent,no
technician,single,high.school,no,no,no,telephone,jul,wed,nonexistent,no
blue-collar,married,high.school,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,single,basic,no,no,no,cellular,jul,wed,nonexistent,no
technician,married,professional.course,no,no,yes,cellular,jul,wed,nonexistent,no
entrepreneur,married,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,single,high.school,no,yes,no,cellular,jul,wed,nonexistent,no
admin,divorced,unknown,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,single,basic,unknown,yes,no,telephone,jul,wed,nonexistent,no
self-employed,single,unknown,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
services,single,high.school,no,yes,no,cellular,jul,wed,nonexistent,no
services,single,high.school,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,no,yes,cellular,jul,wed,nonexistent,no
admin,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,single,basic,unknown,no,no,telephone,jul,wed,nonexistent,no
unemployed,married,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
management,married,high.school,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,single,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
admin,married,unknown,no,yes,no,cellular,jul,wed,nonexistent,no
admin,married,university.degree,no,no,yes,cellular,jul,wed,nonexistent,yes
services,married,high.school,no,no,yes,cellular,jul,wed,nonexistent,no
services,single,high.school,no,no,no,cellular,jul,wed,nonexistent,no
management,married,university.degree,no,no,yes,cellular,jul,wed,nonexistent,no
student,single,high.school,no,no,yes,cellular,jul,wed,nonexistent,no
admin,married,university.degree,no,yes,no,telephone,jul,wed,nonexistent,no
technician,single,university.degree,no,no,yes,telephone,jul,wed,nonexistent,no
entrepreneur,married,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
entrepreneur,married,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
admin,single,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
admin,married,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
services,divorced,high.school,no,no,no,telephone,jul,wed,nonexistent,no
retired,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
admin,married,unknown,no,yes,yes,cellular,jul,wed,nonexistent,no
entrepreneur,divorced,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
admin,married,university.degree,no,yes,no,cellular,jul,wed,nonexistent,yes
unemployed,married,high.school,no,yes,no,cellular,jul,wed,nonexistent,no
retired,married,university.degree,unknown,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
services,married,unknown,unknown,unknown,unknown,cellular,jul,wed,nonexistent,no
admin,married,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
retired,married,professional.course,no,no,no,cellular,jul,wed,nonexistent,no
admin,married,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
technician,married,professional.course,no,no,no,cellular,jul,wed,nonexistent,no
management,single,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
admin,single,university.degree,no,no,no,telephone,jul,wed,nonexistent,no
self-employed,divorced,university.degree,no,no,yes,cellular,jul,wed,nonexistent,no
management,married,university.degree,no,unknown,unknown,cellular,jul,wed,nonexistent,no
admin,divorced,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
admin,divorced,university.degree,no,no,yes,cellular,jul,wed,nonexistent,no
technician,married,professional.course,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
housemaid,married,unknown,no,yes,no,cellular,jul,wed,nonexistent,no
management,single,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,no,no,cellular,jul,wed,nonexistent,no
management,married,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
services,single,high.school,no,yes,yes,cellular,jul,wed,nonexistent,no
blue-collar,married,high.school,no,no,no,telephone,jul,wed,nonexistent,no
blue-collar,married,basic,no,no,yes,cellular,jul,wed,nonexistent,yes
blue-collar,single,high.school,no,yes,no,cellular,jul,wed,nonexistent,no
self-employed,single,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
self-employed,divorced,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,single,basic,no,yes,no,cellular,jul,wed,nonexistent,no
technician,single,professional.course,no,no,no,cellular,jul,wed,nonexistent,no
admin,single,university.degree,no,no,yes,cellular,jul,wed,nonexistent,no
unknown,married,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,high.school,unknown,yes,no,telephone,jul,wed,nonexistent,no
technician,single,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,unknown,no,yes,no,cellular,jul,wed,nonexistent,no
admin,married,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,no,no,cellular,jul,wed,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,jul,wed,nonexistent,no
entrepreneur,divorced,university.degree,no,no,no,telephone,jul,wed,nonexistent,no
services,single,high.school,no,unknown,unknown,telephone,jul,wed,nonexistent,no
blue-collar,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,no,yes,telephone,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
admin,married,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
self-employed,married,professional.course,unknown,no,no,cellular,jul,wed,nonexistent,no
blue-collar,single,basic,no,yes,yes,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
retired,divorced,unknown,no,no,no,cellular,jul,wed,nonexistent,no
admin,married,university.degree,no,no,no,telephone,jul,wed,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,jul,wed,nonexistent,no
services,single,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
services,single,basic,no,yes,no,cellular,jul,wed,nonexistent,no
admin,divorced,high.school,no,no,no,cellular,jul,wed,nonexistent,yes
blue-collar,single,basic,unknown,no,no,cellular,jul,wed,nonexistent,no
admin,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
admin,married,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
admin,divorced,high.school,no,no,no,cellular,jul,wed,nonexistent,no
admin,married,basic,unknown,no,no,cellular,jul,wed,nonexistent,no
blue-collar,single,basic,no,no,no,cellular,jul,wed,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,wed,nonexistent,no
technician,married,high.school,unknown,no,no,cellular,jul,wed,nonexistent,no
services,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
technician,single,professional.course,no,yes,no,cellular,jul,wed,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,wed,nonexistent,no
technician,single,university.degree,no,yes,yes,cellular,jul,wed,nonexistent,no
services,married,high.school,unknown,yes,no,cellular,jul,wed,nonexistent,no
technician,single,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
management,married,university.degree,no,yes,no,cellular,jul,wed,nonexistent,yes
technician,single,professional.course,no,no,no,telephone,jul,wed,nonexistent,no
entrepreneur,married,basic,no,yes,yes,telephone,jul,wed,nonexistent,no
unknown,married,unknown,unknown,yes,no,cellular,jul,wed,nonexistent,no
technician,single,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,no,no,cellular,jul,wed,nonexistent,no
retired,married,basic,unknown,no,no,cellular,jul,wed,nonexistent,no
admin,single,professional.course,no,yes,no,cellular,jul,wed,nonexistent,no
technician,married,basic,unknown,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
services,single,university.degree,no,unknown,unknown,cellular,jul,wed,nonexistent,no
management,married,unknown,no,yes,no,cellular,jul,wed,nonexistent,no
self-employed,divorced,university.degree,unknown,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,single,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
entrepreneur,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
services,single,basic,no,no,no,cellular,jul,wed,nonexistent,no
admin,single,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
technician,divorced,professional.course,no,yes,no,cellular,jul,wed,nonexistent,no
admin,single,professional.course,no,yes,no,cellular,jul,wed,nonexistent,yes
blue-collar,married,unknown,unknown,yes,no,cellular,jul,wed,nonexistent,no
management,divorced,high.school,no,no,yes,cellular,jul,wed,nonexistent,no
blue-collar,married,high.school,no,no,no,cellular,jul,wed,nonexistent,no
services,single,basic,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
admin,single,university.degree,no,yes,no,cellular,jul,wed,nonexistent,yes
management,married,university.degree,no,yes,no,telephone,jul,wed,nonexistent,no
technician,single,high.school,no,no,no,telephone,jul,wed,nonexistent,no
admin,married,university.degree,unknown,no,yes,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
entrepreneur,married,university.degree,no,yes,no,telephone,jul,wed,nonexistent,no
technician,single,professional.course,no,unknown,unknown,cellular,jul,wed,nonexistent,no
admin,single,university.degree,no,no,no,telephone,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,yes
blue-collar,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
services,married,professional.course,no,yes,no,cellular,jul,wed,nonexistent,no
technician,single,university.degree,no,no,yes,telephone,jul,wed,nonexistent,no
technician,single,university.degree,no,no,yes,telephone,jul,wed,nonexistent,no
admin,divorced,high.school,no,no,yes,cellular,jul,wed,nonexistent,no
admin,single,professional.course,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,single,basic,no,no,no,cellular,jul,wed,nonexistent,no
technician,single,high.school,no,no,no,cellular,jul,wed,nonexistent,no
management,married,university.degree,no,yes,yes,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
technician,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
unknown,married,university.degree,no,no,yes,cellular,jul,wed,nonexistent,no
admin,single,professional.course,no,no,yes,cellular,jul,wed,nonexistent,no
self-employed,married,university.degree,no,no,no,telephone,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
self-employed,married,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
self-employed,divorced,university.degree,no,yes,no,cellular,jul,wed,nonexistent,yes
admin,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,yes
technician,divorced,professional.course,no,no,no,cellular,jul,wed,nonexistent,no
technician,divorced,professional.course,no,no,yes,cellular,jul,wed,nonexistent,yes
admin,married,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
technician,married,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
admin,single,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
housemaid,unknown,basic,no,yes,no,cellular,jul,wed,nonexistent,no
management,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
services,single,basic,no,no,no,telephone,jul,wed,nonexistent,no
admin,married,professional.course,no,yes,no,cellular,jul,wed,nonexistent,no
admin,married,high.school,no,no,no,cellular,jul,wed,nonexistent,no
entrepreneur,married,university.degree,no,no,no,cellular,jul,wed,nonexistent,yes
admin,single,high.school,no,no,yes,cellular,jul,wed,nonexistent,no
services,divorced,basic,unknown,no,no,cellular,jul,wed,nonexistent,no
admin,single,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
services,married,high.school,no,no,no,telephone,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
management,married,university.degree,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
retired,married,professional.course,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
admin,single,high.school,no,yes,no,telephone,jul,wed,nonexistent,no
technician,married,professional.course,no,unknown,unknown,cellular,jul,wed,nonexistent,no
services,married,unknown,no,yes,yes,telephone,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,yes,telephone,jul,wed,nonexistent,no
blue-collar,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
admin,married,high.school,no,no,no,cellular,jul,wed,nonexistent,no
services,married,unknown,unknown,yes,yes,cellular,jul,wed,nonexistent,yes
services,married,basic,no,yes,yes,cellular,jul,wed,nonexistent,no
blue-collar,single,basic,unknown,yes,no,cellular,jul,wed,nonexistent,yes
technician,divorced,professional.course,no,no,no,cellular,jul,wed,nonexistent,no
admin,married,high.school,no,yes,yes,cellular,jul,wed,nonexistent,no
services,married,high.school,unknown,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
services,single,high.school,no,no,no,cellular,jul,wed,nonexistent,no
admin,married,high.school,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jul,wed,nonexistent,no
management,single,unknown,no,yes,yes,cellular,jul,wed,nonexistent,no
housemaid,single,basic,unknown,no,no,telephone,jul,wed,nonexistent,no
services,single,high.school,no,unknown,unknown,cellular,jul,wed,nonexistent,no
housemaid,married,high.school,unknown,yes,no,cellular,jul,wed,nonexistent,no
entrepreneur,married,university.degree,no,yes,no,telephone,jul,wed,nonexistent,no
admin,divorced,basic,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,divorced,basic,no,no,no,telephone,jul,wed,nonexistent,no
admin,married,university.degree,unknown,yes,no,telephone,jul,wed,nonexistent,no
services,single,high.school,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,no,no,cellular,jul,wed,nonexistent,no
self-employed,married,basic,no,yes,no,cellular,jul,wed,nonexistent,yes
admin,married,university.degree,no,yes,no,telephone,jul,wed,nonexistent,no
self-employed,married,university.degree,no,yes,no,cellular,jul,wed,nonexistent,yes
technician,married,professional.course,no,no,no,telephone,jul,wed,nonexistent,no
admin,single,university.degree,no,unknown,unknown,cellular,jul,wed,nonexistent,no
blue-collar,single,basic,no,no,no,cellular,jul,wed,nonexistent,no
entrepreneur,married,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
services,divorced,high.school,no,no,no,cellular,jul,wed,nonexistent,yes
services,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,no,no,cellular,jul,wed,nonexistent,no
management,married,university.degree,no,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,unknown,yes,no,cellular,jul,wed,nonexistent,no
admin,divorced,university.degree,no,no,no,telephone,jul,wed,nonexistent,no
blue-collar,single,basic,unknown,yes,yes,cellular,jul,wed,nonexistent,no
blue-collar,single,professional.course,no,yes,no,cellular,jul,wed,nonexistent,no
technician,married,professional.course,no,no,no,cellular,jul,wed,nonexistent,no
technician,married,unknown,unknown,no,no,cellular,jul,wed,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,wed,nonexistent,no
self-employed,married,professional.course,unknown,yes,yes,cellular,jul,wed,nonexistent,yes
admin,married,university.degree,no,yes,yes,cellular,jul,wed,nonexistent,no
technician,divorced,professional.course,no,yes,yes,cellular,jul,wed,nonexistent,no
admin,married,high.school,no,yes,no,telephone,jul,wed,nonexistent,no
blue-collar,married,basic,no,no,no,cellular,jul,wed,nonexistent,no
services,married,basic,no,yes,no,telephone,jul,wed,nonexistent,no
admin,divorced,university.degree,no,no,no,telephone,jul,wed,nonexistent,no
services,single,basic,no,yes,no,cellular,jul,wed,nonexistent,no
blue-collar,divorced,basic,no,no,no,cellular,jul,thu,nonexistent,no
technician,single,high.school,no,no,no,cellular,jul,thu,nonexistent,no
admin,married,high.school,no,no,no,cellular,jul,thu,nonexistent,no
retired,married,basic,no,no,no,cellular,jul,thu,nonexistent,no
blue-collar,single,basic,unknown,no,yes,telephone,jul,thu,nonexistent,no
blue-collar,married,basic,no,no,yes,cellular,jul,thu,nonexistent,no
services,married,high.school,unknown,yes,no,cellular,jul,thu,nonexistent,no
entrepreneur,married,university.degree,no,unknown,unknown,cellular,jul,thu,nonexistent,yes
technician,divorced,high.school,no,no,no,cellular,jul,thu,nonexistent,no
technician,single,university.degree,no,no,no,cellular,jul,thu,nonexistent,no
admin,married,high.school,no,no,yes,cellular,jul,thu,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jul,thu,nonexistent,no
retired,married,basic,unknown,unknown,unknown,cellular,jul,thu,nonexistent,no
blue-collar,married,high.school,no,yes,yes,cellular,jul,thu,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,thu,nonexistent,no
technician,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,no
entrepreneur,single,high.school,no,yes,yes,cellular,jul,thu,nonexistent,no
entrepreneur,married,university.degree,unknown,no,yes,cellular,jul,thu,nonexistent,no
services,single,high.school,no,yes,no,telephone,jul,thu,nonexistent,no
technician,married,high.school,no,no,no,cellular,jul,thu,nonexistent,no
services,single,high.school,no,yes,no,cellular,jul,thu,nonexistent,no
services,single,high.school,no,yes,no,cellular,jul,thu,nonexistent,no
housemaid,divorced,basic,unknown,no,yes,cellular,jul,thu,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,thu,nonexistent,no
blue-collar,single,basic,no,yes,no,cellular,jul,thu,nonexistent,no
blue-collar,married,basic,no,unknown,unknown,cellular,jul,thu,nonexistent,no
services,single,university.degree,no,no,yes,cellular,jul,thu,nonexistent,no
technician,divorced,high.school,no,no,no,cellular,jul,thu,nonexistent,no
services,divorced,high.school,no,no,yes,cellular,jul,thu,nonexistent,no
services,divorced,high.school,no,no,yes,cellular,jul,thu,nonexistent,no
admin,married,high.school,no,no,no,cellular,jul,thu,nonexistent,no
management,married,professional.course,no,no,no,cellular,jul,thu,nonexistent,no
admin,single,university.degree,no,yes,no,cellular,jul,thu,nonexistent,no
admin,single,university.degree,no,no,yes,cellular,jul,thu,nonexistent,no
services,divorced,high.school,no,no,yes,cellular,jul,thu,nonexistent,no
blue-collar,married,basic,unknown,yes,no,cellular,jul,thu,nonexistent,no
services,married,high.school,unknown,no,yes,cellular,jul,thu,nonexistent,no
admin,single,university.degree,no,no,yes,cellular,jul,thu,nonexistent,no
blue-collar,married,basic,no,yes,no,cellular,jul,thu,nonexistent,no
technician,single,university.degree,no,no,no,cellular,jul,thu,nonexistent,no
admin,single,high.school,no,yes,no,cellular,jul,thu,nonexistent,no
technician,married,professional.course,no,yes,yes,cellular,jul,thu,nonexistent,no
technician,single,high.school,no,no,no,cellular,jul,thu,nonexistent,no
admin,married,high.school,no,no,no,cellular,jul,thu,nonexistent,no
entrepreneur,married,basic,no,yes,no,cellular,jul,thu,nonexistent,no
management,single,university.degree,unknown,yes,no,cellular,jul,thu,nonexistent,no
